x, u_gen, u_spec
0.059806, 0.390319, 0.390319
0.059906, 0.390769, 0.390769
0.060006, 0.391218, 0.391218
0.060106, 0.391667, 0.391667
0.060206, 0.392115, 0.392115
0.060306, 0.392562, 0.392562
0.060406, 0.393009, 0.393009
0.060506, 0.393455, 0.393455
0.060606, 0.393901, 0.393901
0.060706, 0.394346, 0.394346
0.060806, 0.394791, 0.394791
0.060906, 0.395235, 0.395235
0.061006, 0.395679, 0.395679
0.061106, 0.396122, 0.396122
0.061206, 0.396565, 0.396565
0.061306, 0.397007, 0.397007
0.061406, 0.397448, 0.397448
0.061506, 0.397889, 0.397889
0.061606, 0.398329, 0.398329
0.061706, 0.398769, 0.398769
0.061806, 0.399209, 0.399209
0.061906, 0.399647, 0.399647
0.062006, 0.400085, 0.400085
0.062106, 0.400523, 0.400523
0.062206, 0.400960, 0.400960
0.062306, 0.401397, 0.401397
0.062406, 0.401833, 0.401833
0.062506, 0.402269, 0.402269
0.062606, 0.402704, 0.402704
0.062706, 0.403138, 0.403138
0.062806, 0.403572, 0.403572
0.062906, 0.404005, 0.404005
0.063006, 0.404438, 0.404438
0.063106, 0.404871, 0.404871
0.063206, 0.405302, 0.405302
0.063306, 0.405734, 0.405734
0.063406, 0.406164, 0.406164
0.063506, 0.406595, 0.406595
0.063606, 0.407024, 0.407024
0.063706, 0.407454, 0.407454
0.063806, 0.407882, 0.407882
0.063906, 0.408310, 0.408310
0.064006, 0.408738, 0.408738
0.064106, 0.409165, 0.409165
0.064206, 0.409591, 0.409591
0.064306, 0.410017, 0.410017
0.064406, 0.410443, 0.410443
0.064506, 0.410868, 0.410868
0.064606, 0.411292, 0.411292
0.064706, 0.411716, 0.411716
0.064806, 0.412139, 0.412139
0.064906, 0.412562, 0.412562
0.065007, 0.412985, 0.412985
0.065107, 0.413406, 0.413406
0.065207, 0.413828, 0.413828
0.065307, 0.414248, 0.414248
0.065407, 0.414669, 0.414669
0.065507, 0.415088, 0.415088
0.065607, 0.415508, 0.415508
0.065707, 0.415926, 0.415926
0.065807, 0.416344, 0.416344
0.065907, 0.416762, 0.416762
0.066007, 0.417179, 0.417179
0.066107, 0.417596, 0.417596
0.066207, 0.418012, 0.418012
0.066307, 0.418427, 0.418427
0.066407, 0.418842, 0.418842
0.066507, 0.419257, 0.419257
0.066607, 0.419671, 0.419671
0.066707, 0.420085, 0.420085
0.066807, 0.420498, 0.420498
0.066907, 0.420910, 0.420910
0.067007, 0.421322, 0.421322
0.067107, 0.421733, 0.421733
0.067207, 0.422144, 0.422144
0.067307, 0.422555, 0.422555
0.067407, 0.422965, 0.422965
0.067507, 0.423374, 0.423374
0.067607, 0.423783, 0.423783
0.067707, 0.424192, 0.424192
0.067807, 0.424599, 0.424599
0.067907, 0.425007, 0.425007
0.068007, 0.425414, 0.425414
0.068107, 0.425820, 0.425820
0.068207, 0.426226, 0.426226
0.068307, 0.426631, 0.426631
0.068407, 0.427036, 0.427036
